seed,aligner_size,chosen_lr,chosen_val_loss,best_lr,best_val_loss,ratio,stable_within_10pct
5,affine,0.01,0.379944679549051,0.01,0.379944679549051,1.0,True
5,MLP-small,0.01,0.36943582067606046,0.001,0.36543394828481945,1.0109510142941671,True
5,MLP-medium,0.01,0.36456670656469703,0.01,0.36456670656469703,1.0,True
5,MLP-large,0.01,0.36294736563122393,0.01,0.36294736563122393,1.0,True
6,affine,0.01,1.0227825564785575,0.01,1.0227825564785575,1.0,True
6,MLP-small,0.01,0.9985571189372056,0.01,0.9985571189372056,1.0,True
6,MLP-medium,0.01,0.9607262197888838,0.01,0.9607262197888838,1.0,True
6,MLP-large,0.01,0.9687819366322769,0.01,0.9687819366322769,1.0,True
7,affine,0.01,0.2286385742513454,0.01,0.2286385742513454,1.0,True
7,MLP-small,0.01,0.18193538856045133,0.01,0.18193538856045133,1.0,True
7,MLP-medium,0.01,0.17448908693736398,0.01,0.17448908693736398,1.0,True
7,MLP-large,0.01,0.17942891620043563,0.01,0.17942891620043563,1.0,True
8,affine,0.01,0.1610191624572489,0.01,0.1610191624572489,1.0,True
8,MLP-small,0.01,0.17535133338486855,0.01,0.17535133338486855,1.0,True
8,MLP-medium,0.01,0.15230480810017,0.01,0.15230480810017,1.0,True
8,MLP-large,0.01,0.1485722238666646,0.01,0.1485722238666646,1.0,True
9,affine,0.01,0.2716625016506039,0.01,0.2716625016506039,1.0,True
9,MLP-small,0.01,0.23448833103676195,0.01,0.23448833103676195,1.0,True
9,MLP-medium,0.01,0.240718260081689,0.0001,0.2367842723605634,1.016614227296039,True
9,MLP-large,0.01,0.23538113776156303,0.01,0.23538113776156303,1.0,True
10,affine,0.01,0.23683658681504188,0.01,0.23683658681504188,1.0,True
10,MLP-small,0.01,0.22346046716514895,0.01,0.22346046716514895,1.0,True
10,MLP-medium,0.01,0.2216003552339711,0.01,0.2216003552339711,1.0,True
10,MLP-large,0.01,0.21807560123681158,0.01,0.21807560123681158,1.0,True
11,affine,0.01,0.20875567873241016,0.01,0.20875567873241016,1.0,True
11,MLP-small,0.01,0.18240136332645213,0.01,0.18240136332645213,1.0,True
11,MLP-medium,0.01,0.1773977115965655,0.01,0.1773977115965655,1.0,True
11,MLP-large,0.01,0.1820858975663929,0.001,0.17848229923211298,1.020190228105441,True
12,affine,0.01,0.3317973011370025,0.01,0.3317973011370025,1.0,True
12,MLP-small,0.01,0.2915084896205422,0.01,0.2915084896205422,1.0,True
12,MLP-medium,0.01,0.27270421902656766,0.01,0.27270421902656766,1.0,True
12,MLP-large,0.01,0.28768787238229726,0.0001,0.2871226041883371,1.0019687345604784,True
13,affine,0.01,0.24700615821857902,0.01,0.24700615821857902,1.0,True
13,MLP-small,0.01,0.20975569426423527,0.001,0.20348601619861909,1.0308113460705646,True
13,MLP-medium,0.01,0.1859409823353176,0.001,0.18545643843233367,1.0026127100632354,True
13,MLP-large,0.01,0.17030522648957816,0.01,0.17030522648957816,1.0,True
14,affine,0.01,0.2638116397595714,0.01,0.2638116397595714,1.0,True
14,MLP-small,0.01,0.26956278710616205,0.001,0.2652397461208243,1.0162986168120085,True
14,MLP-medium,0.01,0.26288135673219504,0.01,0.26288135673219504,1.0,True
14,MLP-large,0.01,0.2558395168944396,0.01,0.2558395168944396,1.0,True
15,affine,0.01,0.4498625934013545,0.01,0.4498625934013545,1.0,True
15,MLP-small,0.01,0.39076057246550244,0.01,0.39076057246550244,1.0,True
15,MLP-medium,0.01,0.3781821127254509,0.001,0.3712541331513919,1.0186610166875472,True
15,MLP-large,0.01,0.3733134146582032,0.001,0.36993973941635655,1.0091195264590098,True
16,affine,0.01,0.21641975260721047,0.01,0.21641975260721047,1.0,True
16,MLP-small,0.01,0.18590528359484068,0.01,0.18590528359484068,1.0,True
16,MLP-medium,0.01,0.1780277724161889,0.001,0.17549399230454488,1.0144379877531478,True
16,MLP-large,0.01,0.1743040973583347,0.0001,0.17418837021234726,1.0006643792914898,True
17,affine,0.01,0.7728094165300413,0.01,0.7728094165300413,1.0,True
17,MLP-small,0.01,0.7623101026289894,0.001,0.7616466176948782,1.0008711191236157,True
17,MLP-medium,0.01,0.7539075684159551,0.01,0.7539075684159551,1.0,True
17,MLP-large,0.01,0.7701375366707884,0.001,0.7564167847454594,1.0181391426023765,True
18,affine,0.01,0.3355264336466149,0.01,0.3355264336466149,1.0,True
18,MLP-small,0.01,0.3157729146736878,0.01,0.3157729146736878,1.0,True
18,MLP-medium,0.01,0.31701043154563946,0.0001,0.31517993698761665,1.0058077762674809,True
18,MLP-large,0.01,0.307550755159336,0.01,0.307550755159336,1.0,True
19,affine,0.01,0.22955786156226535,0.01,0.22955786156226535,1.0,True
19,MLP-small,0.01,0.21369234940689033,0.01,0.21369234940689033,1.0,True
19,MLP-medium,0.01,0.2018365194155036,0.01,0.2018365194155036,1.0,True
19,MLP-large,0.01,0.21042965372638117,0.0001,0.20655575360018258,1.0187547432529866,True
